n,s,mean_H,max_H,min_H,mean_dis_prev
2,0,0.06533295633,0.06533388874,0.06533250238,0.3349836696
2,0.05,0.06542230994,0.06819587122,0.0624001871,0.3349832291
2,0.1,0.06537687724,0.07333150574,0.05744026947,0.3349394085
2,0.15,0.06523798561,0.07733698232,0.05386364372,0.3348198387
2,0.2,0.065416355,0.08125320917,0.05068906722,0.3347085061
2,0.25,0.06542312352,0.08474534643,0.04788665491,0.3345514178
2,0.3,0.06554546402,0.08770565674,0.04537182699,0.3344562229
2,0.35,0.06555042757,0.09024499248,0.04330500949,0.3343057521
2,0.4,0.06558958986,0.09269079287,0.04170071371,0.3342128292
2,0.45,0.06564167826,0.09545649855,0.04029674018,0.3340791118
2,0.5,0.06562032302,0.0988486783,0.03882633534,0.3338660808
2,0.55,0.06571119759,0.1030465003,0.03712699393,0.3336514596
2,0.6,0.06579795369,0.1081424294,0.03513023402,0.33333678
2,0.65,0.06592103365,0.1141730624,0.03282809892,0.3329107462
2,0.7,0.06611669001,0.1211433618,0.0302432691,0.3323697343
2,0.75,0.06631840983,0.1290446547,0.02740805835,0.3317171745
2,0.8,0.06644769579,0.1378670328,0.02435101729,0.3308817624
2,0.85,0.06670109869,0.1476052889,0.02108816613,0.329864334
2,0.9,0.06719739088,0.1582638213,0.01761362278,0.3286843
2,0.95,0.06739081403,0.1698593238,0.01388515376,0.32732675
2,1,0.06797498667,0.1824209623,0.009797943687,0.3257057072
3,0,0.0435553033,0.04355592545,0.04355500161,0.3349837145
3,0.05,0.04344377854,0.0485712223,0.04058291475,0.33500887
3,0.1,0.04358451763,0.05367501657,0.03717040228,0.3348907053
3,0.15,0.04371645118,0.05954801812,0.03390221025,0.334706101
3,0.2,0.04366124582,0.06455277819,0.03204778707,0.3344929333
3,0.25,0.04361614196,0.06993514702,0.03030678245,0.3341898689
3,0.3,0.04385851307,0.07478423432,0.02805436289,0.3338962413
3,0.35,0.04389197888,0.08107928989,0.02560254401,0.3334595355
3,0.4,0.04397463511,0.08807073603,0.02334418072,0.332872707
3,0.45,0.04413161256,0.09606775384,0.02123137016,0.33222798
3,0.5,0.04422692009,0.1052825747,0.01922030918,0.3313755886
3,0.55,0.04448724898,0.1161425929,0.01717126179,0.3301683771
3,0.6,0.04484916583,0.1254791557,0.0140191531,0.3282245282
3,0.65,0.04516572099,0.1382114163,0.01188934136,0.326382867
3,0.7,0.04560906452,0.1521981732,0.009874692674,0.3241898931
3,0.75,0.04610300488,0.1674930306,0.007993688798,0.3217735283
3,0.8,0.04678128619,0.1841763069,0.006257898942,0.3188046649
3,0.85,0.04739294612,0.2023594515,0.004672734456,0.3154815161
3,0.9,0.04811564982,0.2221877938,0.003237739955,0.3118429758
3,0.95,0.04890242724,0.243847077,0.001942172537,0.3075098267
3,1,0.05005295038,0.267571786,0.0006736134512,0.3027330143
4,0,0.03266647638,0.03266694438,0.03266625119,0.334983787
4,0.05,0.03272814953,0.03755604085,0.02956752308,0.3349043923
4,0.1,0.03275367052,0.04309446974,0.02685014113,0.3348585926
4,0.15,0.03265979325,0.05072546448,0.02448205951,0.3345939768
4,0.2,0.03272556948,0.05700630231,0.0228905986,0.3343720683
4,0.25,0.03283702279,0.06320086058,0.02046423879,0.3340073728
4,0.3,0.03292969689,0.06825438676,0.01894398153,0.3336341436
4,0.35,0.03296257557,0.07717032418,0.0166537735,0.3330163014
4,0.4,0.03296040049,0.08801084992,0.01487884523,0.3322896888
4,0.45,0.03314385171,0.1036912959,0.01222756286,0.3313908652
4,0.5,0.03336169029,0.1130232595,0.01075242409,0.330073224
4,0.55,0.03364663987,0.1295546665,0.008839935188,0.3283369932
4,0.6,0.03380296166,0.1364040923,0.008226061929,0.3271017564
4,0.65,0.03438281046,0.1540855341,0.006194481916,0.3237280321
4,0.7,0.0346494748,0.1722305777,0.004941095486,0.3208799856
4,0.75,0.03593029297,0.2047968415,0.003182027673,0.3120172785
4,0.8,0.03717000201,0.220825152,0.002859616158,0.3059758478
4,0.85,0.03782406626,0.2424076655,0.002153513691,0.3004133042
4,0.9,0.03885906789,0.2693011064,0.001354312332,0.2942562455
4,0.95,0.04011903707,0.2991514303,0.0006668477857,0.2873407681
4,1,0.04164291442,0.3324722518,4.655103402e-05,0.2793518298
5,0,0.02613318153,0.02613355545,0.02613300096,0.3349837455
5,0.05,0.02613935082,0.02897321488,0.02434850414,0.3349663605
5,0.1,0.02617315893,0.0371852379,0.02125276647,0.3348010791
5,0.15,0.02620584062,0.04435107934,0.01904071808,0.3344749633
5,0.2,0.02620964005,0.05057609829,0.01709648459,0.3341670283
5,0.25,0.02630422736,0.05748320618,0.01531660982,0.3338420358
5,0.3,0.02631547225,0.06219121768,0.0138169432,0.3334467277
5,0.35,0.02638774091,0.067989076,0.01148511024,0.332614039
5,0.4,0.02648715173,0.0795324706,0.01059490347,0.3317837882
5,0.45,0.02667481387,0.09377532075,0.00763893266,0.330317951
5,0.5,0.02683098333,0.1086686261,0.007288741059,0.3291923458
5,0.55,0.02712555382,0.1315169998,0.004746290468,0.3276904126
