N,s,theta,mean_virulence
2,0.15,4,2.00155
2,0.1,4,1.99978
2,0.2,4,2.00185
2,0.05,4,1.99999
2,0.3,4,2.00445
2,0.25,4,2.00384
2,0,4,2.0018
2,0.4,4,2.00443
2,0.35,4,2.00561
2,0.45,4,2.00641
2,0.5,4,2.01106
2,0.55,4,2.0125
2,0.6,4,2.01479
2,0.65,4,2.02277
2,0.7,4,2.02691
2,0.8,4,2.04015
2,0.75,4,2.03501
2,0.85,4,2.04873
2,0.9,4,2.05296
2,0.95,4,2.06255
2,0,5,2.00086
2,0.1,5,2.00095
2,0.05,5,2.00012
2,0.15,5,2.00072
2,0.2,5,2.00194
2,0.25,5,2.00316
2,0.3,5,2.00409
2,1,4,2.07568
2,0.4,5,2.00644
2,0.35,5,2.00547
2,0.45,5,2.00642
2,0.5,5,2.00571
2,0.55,5,2.00717
2,0.6,5,2.00888
2,0.65,5,2.01308
2,0.7,5,2.0196
2,0.75,5,2.02539
2,0.8,5,2.03627
2,0.85,5,2.04544
2,0,6,2.00182
2,0.9,5,2.05713
2,0.1,6,2.00375
2,0.05,6,2.00168
2,0.95,5,2.07096
2,0.15,6,2.00192
2,1,5,2.0851
2,0.2,6,2.00367
2,0.25,6,2.00424
2,0.3,6,2.00466
2,0.4,6,2.00578
2,0.35,6,2.00733
2,0.45,6,2.00548
2,0.5,6,2.00269
2,0.55,6,2.00602
2,0.6,6,2.00931
2,0.65,6,2.01342
2,0.7,6,2.02276
2,0.75,6,2.0323
2,0.8,6,2.04014
2,0.85,6,2.05393
2,0.9,6,2.07127
2,0.95,6,2.08444
2,1,6,2.10485
3,0.05,4,2.00041
3,0,4,2.0001
3,0.1,4,2.00236
3,0.15,4,2.00112
3,0.2,4,2.00233
3,0.25,4,2.00334
3,0.3,4,2.00589
3,0.35,4,2.00817
3,0.4,4,2.01191
3,0.45,4,2.0162
3,0.5,4,2.02663
3,0.55,4,2.03074
3,0.6,4,2.03983
3,0.65,4,2.04865
3,0.7,4,2.07351
3,0.75,4,2.09289
3,0.05,5,2.00068
3,0,5,2.00266
3,0.8,4,2.10514
3,0.1,5,2.001
3,0.85,4,2.12788
3,0.15,5,2.00384
3,0.9,4,2.14999
3,0.95,4,2.17205
3,1,4,2.20192
3,0.2,5,2.00238
3,0.25,5,2.0054
3,0.3,5,2.00599
3,0.35,5,2.00887
3,0.4,5,2.01355
3,0.45,5,2.01654
3,0.5,5,2.02423
