b,beta0,gamma,delta,mean_alpha_s1,mean_alpha_s0
.1,0,0
1.5,0.1,0.5,0.1,0,0
1.5,0.1,0.5,0.316228,0,0
1.5,0.1,0.5,1,0,0
1.5,0.1,0.707107,1,0,0
1.5,0.1,0.707107,0.0316228,0,0
1.5,0.1,1,0.316228,0,0
1.5,0.1,1,0.1,0,0
1.5,0.1,1,1,0,0
1.5,0.1,1,0.0316228,0,0
1.5,0.1,1.41421,0.0316228,0,0
1.5,0.1,1.41421,0.1,0,0
1.5,0.1,1.41421,1,0,0
1.5,0.1,1.41421,0.316228,0,0
1.5,0.1,2,0.0316228,0,0
1.5,0.1,2,0.1,0,0
1.5,0.1,2,0.316228,0,0
1.5,0.1,2,1,0,0
1.5,0.316228,0.5,0.316228,0,0
1.5,0.316228,0.5,1,0,0
1.5,0.1,0.5,0.0316228,1.80467,1.80469
1.5,0.1,0.5,0.01,1.81129,1.81196
1.5,0.1,0.707107,0.01,1.82098,1.82047
1.5,0.316228,0.707107,0.1,0,0
1.5,0.316228,0.707107,0.316228,0,0
1.5,0.1,1,0.01,1.98496,1.98943
1.5,0.316228,0.707107,1,0,0
1.5,0.1,1.41421,0.01,2.28624,2.35698
1.5,0.316228,1,0.1,0,0
1.5,0.316228,0.5,0.01,1.81185,1.81123
1.5,0.316228,1,0.316228,0,0
1.5,0.316228,1,1,0,0
1.5,0.316228,0.5,0.1,1.80149,1.8015
1.5,0.316228,0.5,0.0316228,1.80507,1.80437
1.5,0.316228,1.41421,0.1,0,0
1.5,0.1,2,0.01,2.64293,2.76713
1.5,0.316228,1.41421,0.316228,0,0
1.5,0.316228,1.41421,1,0,0
1.5,0.316228,0.707107,0.01,1.82257,1.8213
1.5,0.316228,2,0.1,0,0
1.5,0.316228,2,0.316228,0,0
1.5,0.316228,2,1,0,0
1.5,0.316228,0.707107,0.0316228,1.81347,1.80993
1.5,0.316228,1,0.01,1.99845,1.98366
1.5,1,0.5,1,0,0
1.5,0.316228,1,0.0316228,2.0294,1.99944
1.5,1,0.5,0.316228,0,1.80043
1.5,0.316228,1.41421,0.01,2.31436,2.36438
1.5,1,0.707107,0.316228,0,0
1.5,0.316228,1.41421,0.0316228,2.42636,2.41285
1.5,1,0.5,0.01,1.8122,1.81205
1.5,1,0.707107,1,0,0
1.5,1,0.5,0.0316228,1.80614,1.80442
1.5,0.316228,2,0.01,2.70509,2.76614
1.5,1,1,0.316228,0,0
1.5,0.316228,2,0.0316228,2.79147,2.78184
1.5,1,1,1,0,0
1.5,1,0.5,0.1,1.80399,1.80149
1.5,1,0.707107,0.01,1.82155,1.82159
1.5,1,1.41421,0.316228,0,0
1.5,1,1.41421,1,0,0
1.5,1,0.707107,0.0316228,1.81892,1.81059
1.5,1,1,0.01,2.00077,1.97804
1.5,1,0.707107,0.1,1.868,1.80386
1.5,1,2,0.316228,0,0
1.5,1,1,0.0316228,2.06145,1.9973
1.5,3.16228,0.5,0.0316228,0,0
1.5,1,2,1,0,0
1.5,1,1,0.1,2.13939,2.00009
1.5,1,1.41421,0.01,2.28295,2.35942
1.5,3.16228,0.5,0.01,0,1.81131
1.5,3.16228,0.707107,0.0316228,0,0
